연령,사망률(남),사망률(여),80% 이상 장해율(남),80% 이상 장해율(여)
40,0.00086,0.00051,0.000147,0.000167
41,0.00094,0.00056,0.000159,0.000187
42,0.00105,0.00061,0.000171,0.000209
43,0.00118,0.00067,0.000186,0.000231
44,0.00134,0.00072,0.000204,0.000255
45,0.00152,0.00078,0.000229,0.000286
46,0.0017,0.00084,0.000259,0.000321
47,0.00188,0.00091,0.000294,0.000361
48,0.00206,0.00097,0.000329,0.000401
49,0.00225,0.00104,0.000367,0.00044
50,0.00244,0.00111,0.00026,0.000372
51,0.00265,0.00118,0.000281,0.000399
52,0.0029,0.00126,0.000302,0.000427
53,0.00317,0.00134,0.000323,0.000461
54,0.00348,0.00142,0.000342,0.000511
55,0.00381,0.00151,0.000359,0.000584
56,0.00419,0.00161,0.000375,0.00068
57,0.00463,0.00174,0.000389,0.000792
58,0.00514,0.00188,0.000402,0.000912
59,0.00571,0.00205,0.000417,0.001032
60,0.00633,0.00223,0.000517,0.000924
61,0.007,0.00244,0.000531,0.001013
62,0.00772,0.00269,0.000544,0.001101
63,0.00848,0.00297,0.000562,0.00119
64,0.00928,0.00327,0.00059,0.001278
65,0.01015,0.00362,0.000629,0.001365
66,0.01116,0.00404,0.000681,0.001449
67,0.0124,0.00458,0.00074,0.001533
68,0.01391,0.00524,0.000805,0.001617
69,0.01565,0.00601,0.00087,0.001702
70,0.01751,0.00687,0.001048,0.001846
71,0.01937,0.00782,0.001111,0.001926
72,0.02111,0.00888,0.001175,0.002008
73,0.02265,0.01008,0.001237,0.002096
74,0.02402,0.01139,0.001294,0.002205
75,0.02546,0.01278,0.001347,0.002338
76,0.02735,0.01423,0.001393,0.002497
77,0.03001,0.01573,0.001437,0.002674
78,0.03347,0.01717,0.001478,0.002863
79,0.03759,0.01856,0.001519,0.003048
80,0.04231,0.02013,0.00157,0.003313
81,0.04771,0.02226,0.001601,0.003478
82,0.05396,0.0253,0.001637,0.00365
83,0.0611,0.02927,0.001697,0.003867
84,0.06905,0.03405,0.001805,0.004169
85,0.07773,0.03953,0.00198,0.00458
86,0.08722,0.04583,0.002224,0.005104
87,0.09774,0.05316,0.002533,0.00572
88,0.10926,0.06147,0.002891,0.006391
89,0.12171,0.07069,0.003283,0.007088
90,0.1351,0.08088,0.003702,0.007803
91,0.14969,0.09244,0.004139,0.008531
92,0.16591,0.10591,0.00458,0.009267
93,0.18379,0.12144,0.005006,0.010007
94,0.20317,0.13884,0.005402,0.010744
95,0.22392,0.15766,0.005759,0.011471
96,0.24623,0.17764,0.006077,0.012169
97,0.27053,0.19884,0.006363,0.012824
98,0.29699,0.22137,0.006638,0.013428
99,0.32546,0.24524,0.006914,0.013992
100,0.35547,0.27011,0.007205,0.01454
101,0.38675,0.29573,0.007513,0.015111
102,0.41937,0.32211,0.007833,0.015733
103,0.4509,0.34718,0.008159,0.016423
104,0.48142,0.37107,0.008641,0.017182
105,0.5438,0.3983,0.009152,0.017997
106,0.61426,0.43677,0.009695,0.018844
107,0.69385,0.50143,0.01027,0.019707
108,0.78375,0.57566,0.01088,0.020574
109,0.8853,0.66088,0.011528,0.021442
110,1,0.75872,0.011528,0.022563
