연령,사망률(남),사망률(여),2대질병 발생률,3대질병 발생률,암발생률(남),암발생률(여),80% 이상 장해율
15,0.000098,0.000064,0.000245,0.000299,0.00033,0.000747,0.000033
16,0.000107,0.00007,0.000264,0.000323,0.000354,0.000781,0.000036
17,0.000116,0.000076,0.000285,0.000349,0.00038,0.000817,0.000038
18,0.000127,0.000082,0.000307,0.000378,0.000407,0.000855,0.00004
19,0.000138,0.000089,0.000331,0.000408,0.000437,0.000894,0.000043
20,0.000151,0.000097,0.000357,0.000441,0.000469,0.000935,0.000045
21,0.000165,0.000105,0.000385,0.000477,0.000503,0.000978,0.000048
22,0.00018,0.000114,0.000415,0.000516,0.000539,0.001023,0.000051
23,0.000196,0.000124,0.000447,0.000558,0.000578,0.00107,0.000054
24,0.000214,0.000135,0.000482,0.000603,0.00062,0.00112,0.000057
25,0.000233,0.000147,0.000519,0.000652,0.000665,0.001171,0.000061
26,0.000254,0.00016,0.00056,0.000705,0.000713,0.001225,0.000065
27,0.000278,0.000173,0.000604,0.000762,0.000765,0.001281,0.000069
28,0.000303,0.000188,0.000651,0.000824,0.00082,0.00134,0.000073
29,0.00033,0.000205,0.000701,0.00089,0.00088,0.001402,0.000078
30,0.00036,0.000222,0.000756,0.000963,0.000944,0.001467,0.000082
31,0.000393,0.000242,0.000815,0.001041,0.001012,0.001534,0.000087
32,0.000429,0.000263,0.000878,0.001125,0.001085,0.001605,0.000093
33,0.000468,0.000285,0.000946,0.001216,0.001164,0.001679,0.000099
34,0.00051,0.00031,0.00102,0.001315,0.001248,0.001756,0.000105
35,0.000557,0.000337,0.0011,0.001422,0.001339,0.001837,0.000111
36,0.000607,0.000366,0.001185,0.001537,0.001436,0.001921,0.000118
37,0.000662,0.000398,0.001278,0.001662,0.00154,0.00201,0.000125
38,0.000723,0.000432,0.001377,0.001797,0.001652,0.002102,0.000133
39,0.000788,0.000469,0.001484,0.001942,0.001772,0.002199,0.000141
40,0.00086,0.00051,0.0016,0.0021,0.0019,0.0023,0.00015
41,0.000938,0.000554,0.001725,0.00227,0.002038,0.002406,0.000159
42,0.001023,0.000602,0.001859,0.002455,0.002186,0.002517,0.000169
43,0.001116,0.000654,0.002004,0.002654,0.002344,0.002632,0.00018
44,0.001218,0.000711,0.00216,0.002869,0.002514,0.002754,0.000191
45,0.001329,0.000772,0.002328,0.003102,0.002696,0.00288,0.000202
46,0.001449,0.000839,0.002509,0.003353,0.002892,0.003013,0.000215
47,0.001581,0.000912,0.002705,0.003625,0.003101,0.003152,0.000228
48,0.001725,0.000991,0.002915,0.003919,0.003326,0.003297,0.000242
49,0.001882,0.001076,0.003142,0.004237,0.003567,0.003448,0.000257
50,0.002053,0.00117,0.003387,0.004581,0.003826,0.003607,0.000273
51,0.002239,0.001271,0.003651,0.004953,0.004104,0.003773,0.00029
52,0.002443,0.001381,0.003935,0.005355,0.004401,0.003947,0.000308
53,0.002665,0.0015,0.004242,0.005789,0.00472,0.004128,0.000327
54,0.002907,0.00163,0.004572,0.006258,0.005062,0.004319,0.000347
55,0.003171,0.001771,0.004928,0.006766,0.00543,0.004517,0.000369
56,0.00346,0.001924,0.005312,0.007315,0.005823,0.004725,0.000392
57,0.003774,0.002091,0.005726,0.007908,0.006245,0.004943,0.000416
58,0.004117,0.002272,0.006172,0.00855,0.006698,0.00517,0.000442
59,0.004491,0.002469,0.006653,0.009244,0.007184,0.005408,0.000469
60,0.0049,0.002682,0.007171,0.009994,0.007705,0.005657,0.000498
61,0.005345,0.002914,0.007729,0.010804,0.008264,0.005917,0.000529
62,0.005831,0.003167,0.008331,0.011681,0.008863,0.00619,0.000562
63,0.006361,0.003441,0.00898,0.012628,0.009505,0.006475,0.000596
64,0.006939,0.003738,0.009679,0.013653,0.010195,0.006773,0.000633
65,0.00757,0.004062,0.010433,0.01476,0.010934,0.007084,0.000672
66,0.008258,0.004413,0.011246,0.015958,0.011727,0.007411,0.000714
67,0.009009,0.004795,0.012122,0.017252,0.012577,0.007752,0.000758
68,0.009827,0.00521,0.013066,0.018652,0.013489,0.008108,0.000805
69,0.010721,0.005661,0.014083,0.020165,0.014467,0.008482,0.000855
70,0.011695,0.006151,0.01518,0.021801,0.015516,0.008872,0.000907
71,0.012758,0.006684,0.016363,0.023569,0.016641,0.00928,0.000964
72,0.013918,0.007262,0.017637,0.025481,0.017847,0.009708,0.001023
73,0.015183,0.00789,0.019011,0.027548,0.019141,0.010154,0.001086
74,0.016563,0.008573,0.020491,0.029783,0.020529,0.010622,0.001154
75,0.018069,0.009315,0.022087,0.032199,0.022018,0.011111,0.001225
76,0.019711,0.010121,0.023808,0.034811,0.023614,0.011622,0.001301
77,0.021503,0.010997,0.025662,0.037635,0.025327,0.012157,0.001381
78,0.023457,0.011949,0.02766,0.040688,0.027163,0.012717,0.001467
79,0.025589,0.012983,0.029815,0.043989,0.029132,0.013302,0.001557
80,0.027915,0.014107,0.032137,0.047557,0.031245,0.013914,0.001653
